id,s,src,ed,xd,entry,exitp,qty,pnl,isl,new_stop
793,TALBROAUTO,tis,2026-06-23,2026-08-31,379.2,395.28,555,8921.65,361.2,343.0
797,MARKSANS,tis,2026-06-23,2026-06-25,268.31,255.45,846,-10875.15,255.31,241.29
799,SENORES,tis,2026-06-24,2026-06-24,1330.9,1283.89,230,-10812.81,1285.0,1235.68
800,GALAPREC,sideways,2026-07-02,2026-07-29,1173.41,1085.42,115,-10118.7,1085.4,1036.55
809,AEQUS,sideways,2026-07-03,2026-07-24,238.7,220.34,558,-10242.51,220.8,218.55
801,WELCORP,orb,2026-07-07,2026-07-07,1545.48,1541.0,64,-286.72,1526.18,1380.33
802,AMAGI,sideways,2026-07-08,2026-08-14,556.7,619.81,240,15147.44,514.9,510.73
803,RPTECH,tis,2026-07-09,2026-07-17,776.46,735.69,300,-12231.0,736.0,715.4
804,LAURUSLABS,strike,2026-07-10,2026-07-27,1534.3,1621.6,212,18507.58,1487.3,1419.24
805,RUBICON,tis,2026-07-10,2026-08-04,1425.77,1463.27,250,9373.2,1382.0,1260.57
806,PSPPROJECT,strike,2026-07-14,2026-07-17,1088.49,1051.29,250,-9298.6,1052.0,1003.52
811,MARKSANS,tis,2026-07-15,2026-07-17,275.18,265.49,1111,-10763.76,266.0,253.82
813,INDSWFTLAB,tis,2026-07-20,2026-07-23,238.0,226.04,909,-10867.32,227.0,215.62
817,CUPID,tis,2026-07-24,2026-07-28,213.84,231.99,1111,20155.99,204.84,196.98
823,NAVINFLUOR,tis,2026-07-27,2026-07-28,7739.36,7498.24,25,-6028.0,7515.36,7325.5
819,RRKABEL,vcp,2026-07-27,2026-09-02,2549.99,2728.69,78,13938.6,2422.99,2283.6
818,RPTECH,vcp,2026-07-27,2026-07-29,806.96,762.51,247,-10979.15,766.96,717.46
825,LAURUSLABS,tis,2026-07-28,2026-09-16,1745.9,1870.4,114,14193.0,1695.3,1496.66
828,VADILALIND,tis,2026-07-28,2026-07-29,6865.19,7300.13,29,12613.26,6652.19,6492.5
824,KTKBANK,tis,2026-07-30,2026-09-15,287.81,326.0,696,26580.24,278.91,267.15
814,AETHER,tis,2026-07-30,2026-08-06,1513.18,1562.45,338,16652.5,1483.68,1372.2
829,ATHERENERG,tis,2026-08-03,2026-09-16,1277.0,1550.1,244,64178.5,1232.0,1167.28
830,UNIPARTS,tis,2026-08-04,2026-08-04,752.0,720.3,366,-10519.85,722.0,701.24
831,SHILPAMED,vcp,2026-08-05,2026-09-16,650.0,911.1,186,48564.6,591.0,588.1
853,AETHER,tis,2026-08-06,2026-09-10,1612.84,1594.05,85,-1596.7,,1462.36
834,BHARATFORG,weekly_tis,2026-08-07,2026-08-10,2233.55,2121.59,185,-20712.6,2125.0,2040.36
841,AVALON,unknown,2026-08-07,2026-09-03,1943.06,2150.04,257,16228.8,1895.4,1705.2
838,AVALON,tis,2026-08-07,2026-09-15,1831.75,2161.15,206,33928.2,1734.75,1705.2
839,ITBEES,etf_tis,2026-08-14,2026-08-18,34.85,33.83,14285,-14558.55,33.72,33.43
875,PSUBNKBEES,etf_tradebook,2026-08-14,2026-09-02,98.14,94.16,5096,-20291.09,,93.64
846,MOMENTUM50,etf_tis,2026-08-18,2026-09-15,54.56,52.92,9165,-15030.6,52.91,52.92
870,MOREALTY,etf_tradebook,2026-08-20,2026-09-02,91.13,87.53,4750,-17064.03,,86.69
847,PHARMABEES,etf_tis,2026-08-26,2026-09-16,27.46,26.9,18208,-10196.48,26.7,26.22
844,NIFTYBEES,etf_tis,2026-09-07,2026-09-15,273.45,265.45,1302,-10416.0,265.43,
852,JUNIORBEES,etf_tis,2026-09-07,2026-09-15,789.36,771.6,13,-230.88,,
848,GOLDBEES,etf_tis,2026-09-10,2026-09-15,125.3,123.91,2548,-3541.72,123.98,122.26
842,MON100,etf_tis,2026-09-10,2026-09-15,332.53,332.61,1243,99.44,321.77,321.28
843,GOLDBEES,etf_tis,2026-09-10,2026-09-11,126.29,123.95,3853,-9000.99,121.05,122.26
