seed,new,old,difference
484,1549409.4774325003,1478453.0478499997,70956.4295825006
485,1257996.543235,1719292.3618749997,-461295.8186399997
486,1783564.4291125003,1620844.6989199999,162719.7301925004
487,1882054.3620275003,1675620.1139999998,206434.24802750046
488,1882266.2225200003,1451702.9393124995,430563.2832075008
489,2044931.2423200004,1762029.9842124998,282901.2581075006
490,1816122.9873249999,1771831.20175,44291.78557499987
491,2083231.9531750004,1392627.0184374996,690604.9347375007
492,1366274.1115200005,1286694.3212174997,79579.79030250083
493,1931987.183045,1704404.9907749998,227582.19227000023
494,1684066.669425,1542956.2567999996,141110.41262500035
495,1348190.2886625002,1278380.9673249999,69809.32133750035
496,1928282.9286500004,1736249.4827,192033.4459500003
497,1993391.8738800003,1692920.6063249998,300471.2675550005
498,1722959.8689250005,2118829.3113174993,-395869.4423924987
499,1723407.3122000003,1728799.9707749998,-5392.658574999543
